"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","24","0","0","0","0"
"Connection problem","1","0","0","0","0"
"Test defects","0","74","0","0","0"
"Not supported","0","4","0","0","0"
"neon-cli error","0","3","0","0","0"
