"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","28","0","0","0","0"
"Connection problem","2","1","0","0","0"
"Test defects","0","95","0","0","0"
"Not supported","0","4","0","0","0"
