"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","30","0","0","0","0"
"Connection problem","2","0","0","0","0"
"Test defects","0","68","0","0","0"
"Not supported","0","6","0","0","0"
