"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 27 09:54:11 GMT 2021","Sat Nov 27 09:54:11 GMT 2021","5","Ethers.js","","","","","testContracts",""
"passed","Sat Nov 27 09:58:31 GMT 2021","Sat Nov 27 09:59:15 GMT 2021","44024","tests.truffle","test_truffle","","","","test_truffle_migration",""
"skipped","Sat Nov 27 09:57:36 GMT 2021","Sat Nov 27 09:57:36 GMT 2021","0","tests.brownie","test_brownie","","","","test_one",""
"failed","Sat Nov 27 09:59:15 GMT 2021","Sat Nov 27 10:00:19 GMT 2021","63772","tests.truffle","test_truffle","","","","test_truffle_contract",""
"passed","Sat Nov 27 09:54:13 GMT 2021","Sat Nov 27 09:54:13 GMT 2021","4","ethjs","","","","","Connection test (js)",""
"broken","Sat Nov 27 09:54:18 GMT 2021","Sat Nov 27 09:54:19 GMT 2021","1104","Hardhat advanced: Greeter","","","","","Should return the new greeting once it's changed",""
"passed","Sat Nov 27 10:01:20 GMT 2021","Sat Nov 27 10:02:01 GMT 2021","40370","tests.truffle","test_truffle","","","","test_issue_364_self_destruct_contract",""
"broken","Sat Nov 27 09:54:10 GMT 2021","Sat Nov 27 09:54:11 GMT 2021","1463","Ethers.js","","","","","testWritingToTheBlockchain",""
"skipped","Sat Nov 27 09:57:36 GMT 2021","Sat Nov 27 09:57:36 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_advanced",""
"broken","Sat Nov 27 09:54:08 GMT 2021","Sat Nov 27 09:54:10 GMT 2021","1966","Ethers.js","","","","","testQueryingBlockchain",""
"failed","Sat Nov 27 09:58:05 GMT 2021","Sat Nov 27 09:58:17 GMT 2021","12686","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data2]",""
"broken","Sat Nov 27 09:54:12 GMT 2021","Sat Nov 27 09:54:13 GMT 2021","480","Ethers.js","","","","","testQueryHistoricEvents",""
"skipped","Sat Nov 27 09:57:36 GMT 2021","Sat Nov 27 09:57:36 GMT 2021","0","tests.hardhat","test_hardhat","","","","test_hardhat_simple",""
"broken","Sat Nov 27 09:54:13 GMT 2021","Sat Nov 27 09:54:13 GMT 2021","15","ethjs","","","","","test01",""
"passed","Sat Nov 27 09:54:07 GMT 2021","Sat Nov 27 09:54:08 GMT 2021","965","Ethers.js","","","","","shouldConnectViaEthersJs",""
"failed","Sat Nov 27 09:57:36 GMT 2021","Sat Nov 27 09:57:51 GMT 2021","14617","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data0]",""
"passed","Sat Nov 27 09:54:05 GMT 2021","Sat Nov 27 09:54:07 GMT 2021","1558","Ethers.js","","","","","shouldCountTransactions",""
"failed","Sat Nov 27 09:57:51 GMT 2021","Sat Nov 27 09:58:05 GMT 2021","13869","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data1]",""
"failed","Sat Nov 27 10:00:19 GMT 2021","Sat Nov 27 10:01:20 GMT 2021","61123","tests.truffle","test_truffle","","","","test_truffle_test",""
"passed","Sat Nov 27 09:54:12 GMT 2021","Sat Nov 27 09:54:12 GMT 2021","4","Ethers.js","","","","","testStateChangingMethods",""
"failed","Sat Nov 27 09:58:17 GMT 2021","Sat Nov 27 09:58:31 GMT 2021","13757","tests.openzeppelin","test_openzeppelin","","","","test_contracts[input_data3]",""
"broken","Sat Nov 27 09:54:11 GMT 2021","Sat Nov 27 09:54:12 GMT 2021","966","Ethers.js","","","","","testReadOnlyMethods",""
"broken","Sat Nov 27 09:54:13 GMT 2021","Sat Nov 27 09:54:13 GMT 2021","486","Ethers.js","","","","","testSigningMessages",""
"broken","Sat Nov 27 09:54:05 GMT 2021","Sat Nov 27 09:54:05 GMT 2021","754","Ethers.js","","","","","shouldCreateAcccountWithEthersJs",""
"passed","Sat Nov 27 09:54:08 GMT 2021","Sat Nov 27 09:54:08 GMT 2021","1","Ethers.js","","","","","testSigner",""
