"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","45","0","0","0","0"
"Test defects","0","16","0","0","0"
"neon-cli error","0","15","0","0","0"
"Not supported","0","7","0","0","0"
