"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","52","0","0","0","0"
"Connection problem","2","0","0","0","0"
"Test defects","0","143","0","0","0"
"Not supported","0","4","0","0","0"
