"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","61","0","0","0","0"
"Test defects","0","48","0","0","0"
"neon-cli error","0","14","0","0","0"
"Not supported","0","12","0","0","0"
