"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","47","0","0","0","0"
"Test defects","0","28","0","0","0"
"neon-cli error","0","15","0","0","0"
"Not supported","0","5","0","0","0"
