"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","62","0","0","0","0"
"Test defects","0","77","0","0","0"
"neon-cli error","0","17","0","0","0"
"Not supported","0","8","0","0","0"
