"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","52","0","0","0","0"
"Connection problem","3","15","0","0","0"
"Test defects","0","49","0","0","0"
"neon-cli error","0","15","0","0","0"
"Not supported","0","7","0","0","0"
