"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","68","0","0","0","0"
"Connection problem","2","0","0","0","0"
"Test defects","0","49","0","0","0"
"Not supported","0","4","0","0","0"
"neon-cli error","0","2","0","0","0"
