"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","69","0","0","0","0"
"Test defects","0","41","0","0","0"
"neon-cli error","0","9","0","0","0"
"Not supported","0","6","0","0","0"
