"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","63","0","0","0","0"
"Connection problem","3","0","0","0","0"
"Test defects","0","29","0","0","0"
"neon-cli error","0","5","0","0","0"
"Not supported","0","2","0","0","0"
