"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","27","0","0","0","0"
"Test defects","0","57","0","0","0"
"Not supported","0","6","0","0","0"
"neon-cli error","0","1","0","0","0"
