"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","45","0","0","0","0"
"Connection problem","2","0","0","0","0"
"Test defects","0","11","0","0","0"
"neon-cli error","0","9","0","0","0"
"Not supported","0","4","0","0","0"
