"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","68","0","0","0","0"
"Connection problem","2","0","0","0","0"
"Test defects","0","100","0","0","0"
"Not supported","0","3","0","0","0"
