"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","47","0","0","0","0"
"Connection problem","3","0","0","0","0"
"Test defects","0","14","0","0","0"
"Not supported","0","8","0","0","0"
"neon-cli error","0","5","0","0","0"
