"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","61","0","0","0","0"
"Test defects","0","17","0","0","0"
"Not supported","0","6","0","0","0"
"neon-cli error","0","4","0","0","0"
