"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Product defects","27","0","0","0","0"
"Test defects","0","99","0","0","0"
"neon-cli error","0","12","0","0","0"
"Not supported","0","5","0","0","0"
"Connection problem","0","1","0","0","0"
